,student_id,question_no,student_answer,teacher_answer,score
18,202,q9,"It is the address of a website, like google.com.","An IP address is a unique numerical label assigned to a device on a network. It is necessary for identification of the device and for location addressing, which allows data to be routed correctly.",0.0
19,202,q10,You should try to save energy by turning off the lights.,The law of conservation of energy states that energy cannot be created or destroyed. It can only be transformed or transferred from one form to another in an isolated system.,0.0
20,203,q1,Plants use sunlight for food.,"Photosynthesis is the process by which green plants use sunlight to synthesize foods from carbon dioxide and water. The key components required are sunlight, water, carbon dioxide, and the pigment chlorophyll.",1.5
21,203,q2,Force = mass x acceleration.,Newton's Second Law states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as the formula $F = ma$.,1.0
22,203,q3,A protest against the salt tax.,The Dandi March was an act of nonviolent civil disobedience to protest the unjust British salt tax. Its wider objective was to challenge British authority and galvanize the population for independence.,0.5
23,203,q4,Made from layers of sediment pressed together.,"Sedimentary rocks are formed from the accumulation of sediments from pre-existing rocks. These sediments are deposited in layers and then undergo compaction and cementation over time, hardening into rock.",0.0
24,203,q5,It runs the computer.,"An Operating System acts as an intermediary between the user and computer hardware, managing all resources. A key function is memory management, which allocates memory to programs.",0.0
25,203,q6,Acid plus base makes salt.,A neutralisation reaction is a chemical reaction between an acid and a base. The reaction results in the formation of two main products: a salt and water.,0.0
26,203,q7,Government where people can vote.,"Democracy is a system of government by the people, through freely elected representatives. Two fundamental principles are ensuring free and fair elections and upholding the rule of law for all citizens.",0.0
27,203,q8,"Producers make food, consumers eat the food.","Producers, like plants, are autotrophs that create their own food using sunlight. Consumers are heterotrophs that cannot make their own food and must obtain energy by eating other organisms.",2.0
28,203,q9,A computer's address for the internet.,"An IP address is a unique numerical label assigned to a device on a network. It is necessary for identification of the device and for location addressing, which allows data to be routed correctly.",0.5
29,203,q10,Energy is never lost.,The law of conservation of energy states that energy cannot be created or destroyed. It can only be transformed or transferred from one form to another in an isolated system.,0.0
30,204,q1,Photosynthisis is when plants make there own food with sunlight and water.,"Photosynthesis is the process by which green plants use sunlight to synthesize foods from carbon dioxide and water. The key components required are sunlight, water, carbon dioxide, and the pigment chlorophyll.",1.5
31,204,q2,Newtons 2nd law says force is related to mass and accelaration.,Newton's Second Law states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as the formula $F = ma$.,2.0
32,204,q3,Gandhi marched to protest the salt tax by the British.,The Dandi March was an act of nonviolent civil disobedience to protest the unjust British salt tax. Its wider objective was to challenge British authority and galvanize the population for independence.,0.5
33,204,q4,They are formed by layers of sedimant being pressed together.,"Sedimentary rocks are formed from the accumulation of sediments from pre-existing rocks. These sediments are deposited in layers and then undergo compaction and cementation over time, hardening into rock.",0.0
34,204,q5,An operating system manages the computer's memory and stuff.,"An Operating System acts as an intermediary between the user and computer hardware, managing all resources. A key function is memory management, which allocates memory to programs.",2.5
35,204,q6,A neutralisation reaction makes salt and water from an acid and a base.,A neutralisation reaction is a chemical reaction between an acid and a base. The reaction results in the formation of two main products: a salt and water.,2.5
36,204,q7,When people can vote for there leaders. Like in free elections.,"Democracy is a system of government by the people, through freely elected representatives. Two fundamental principles are ensuring free and fair elections and upholding the rule of law for all citizens.",0.0
37,204,q8,A produser makes its own food but a consumer has to eat other things.,"Producers, like plants, are autotrophs that create their own food using sunlight. Consumers are heterotrophs that cannot make their own food and must obtain energy by eating other organisms.",1.5
38,204,q9,An IP adress is a number that identifies your computer on the internet.,"An IP address is a unique numerical label assigned to a device on a network. It is necessary for identification of the device and for location addressing, which allows data to be routed correctly.",2.0
39,204,q10,The law of conservation of energy says enerjy cant be created or destroyd.,The law of conservation of energy states that energy cannot be created or destroyed. It can only be transformed or transferred from one form to another in an isolated system.,1.5
40,205,q1,"It is the process plants use to convert light energy into chemical energy, using water and CO2.","Photosynthesis is the process by which green plants use sunlight to synthesize foods from carbon dioxide and water. The key components required are sunlight, water, carbon dioxide, and the pigment chlorophyll.",1.5
41,205,q2,The acceleration of an object is dependent on two variables: the net force acting upon the object and the mass of the object.,Newton's Second Law states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as the formula $F = ma$.,1.5
42,205,q3,,The Dandi March was an act of nonviolent civil disobedience to protest the unjust British salt tax. Its wider objective was to challenge British authority and galvanize the population for independence.,0.0
43,205,q4,Sedimentary rocks are the result of accumulated sediment that has been compacted.,"Sedimentary rocks are formed from the accumulation of sediments from pre-existing rocks. These sediments are deposited in layers and then undergo compaction and cementation over time, hardening into rock.",2.0
44,205,q5,,"An Operating System acts as an intermediary between the user and computer hardware, managing all resources. A key function is memory management, which allocates memory to programs.",0.0
45,205,q6,An acid and a base react to form a salt and H2O.,A neutralisation reaction is a chemical reaction between an acid and a base. The reaction results in the formation of two main products: a salt and water.,1.0
46,205,q7,A form of government where the people hold the power.,"Democracy is a system of government by the people, through freely elected representatives. Two fundamental principles are ensuring free and fair elections and upholding the rule of law for all citizens.",0.0
47,205,q8,"Producers, such as plants, make their own food. Consumers must eat to get energy.","Producers, like plants, are autotrophs that create their own food using sunlight. Consumers are heterotrophs that cannot make their own food and must obtain energy by eating other organisms.",2.5
48,205,q9,,"An IP address is a unique numerical label assigned to a device on a network. It is necessary for identification of the device and for location addressing, which allows data to be routed correctly.",0.0
49,205,q10,"In a closed system, energy can change forms but the total amount of energy remains constant.",The law of conservation of energy states that energy cannot be created or destroyed. It can only be transformed or transferred from one form to another in an isolated system.,0.5
